               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.030932,            0.011977,                   0,             0.86383,             0.83472,             0.86657,             0.55977,            0.007438,          0.00050709,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.030525,            0.011766,                   0,             0.86129,             0.77618,              0.8307,             0.54781,           0.0077421,          0.00057881,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.02988,            0.011969,                   0,             0.84552,             0.82818,             0.85926,             0.55786,           0.0074078,           0.0005559,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.030214,            0.011843,                   0,              0.8361,             0.84868,             0.85991,             0.55079,           0.0073367,          0.00056805,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.029628,            0.011489,                   0,             0.84775,             0.80593,             0.85939,             0.54525,           0.0076601,          0.00064332,                   0,            0.005941,            0.005941,            0.005941
                  43,             0.03016,            0.011796,                   0,             0.86397,             0.82237,             0.86043,             0.56596,            0.007548,          0.00057619,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.029267,             0.01124,                   0,             0.88844,             0.84211,             0.87986,             0.56329,           0.0075398,          0.00048363,                   0,            0.005743,            0.005743,            0.005743
                  45,             0.02916,            0.011271,                   0,             0.85698,             0.85526,             0.86991,             0.56541,           0.0074596,          0.00046834,                   0,            0.005644,            0.005644,            0.005644
                  46,              0.0288,            0.011199,                   0,             0.81439,             0.84868,             0.85347,             0.58209,           0.0072274,          0.00051491,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.028503,            0.011336,                   0,             0.86024,             0.80988,             0.86862,              0.5675,            0.007218,          0.00047528,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.028361,            0.011258,                   0,             0.73208,             0.83553,             0.83297,             0.56143,           0.0073326,          0.00060157,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.028723,            0.011517,                   0,             0.79113,             0.85526,              0.8491,             0.56367,           0.0074234,          0.00047911,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.028553,            0.011295,                   0,             0.80524,             0.81602,             0.84856,             0.57473,           0.0071401,          0.00051205,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.028797,            0.010925,                   0,             0.85662,             0.82541,              0.8714,             0.59686,            0.007074,          0.00050764,                   0,             0.00505,             0.00505,             0.00505
